dataset,seed,split,bit_index,branch,activation_rate,binary_entropy_bits,continuous_mean,continuous_sd
fashion,42,test,13,3,1.0,0.0,0.19653049111366272,0.06026318669319153
fashion,42,test,14,3,0.951,0.2821337464520462,0.0756288468837738,0.04392044618725777
fashion,42,test,15,3,0.242,0.7983504203079477,-0.04446735605597496,0.05856683477759361
fashion,123,train,0,0,0.6316,0.9494356433280757,0.02697134017944336,0.060963224619627
fashion,123,train,1,0,0.1977,0.7173041763374735,-0.04130112752318382,0.04769238084554672
fashion,123,train,2,0,0.676,0.9086783848007121,0.01811893843114376,0.03587847203016281
fashion,123,train,3,0,0.8152,0.6904658250533904,0.03937514126300812,0.04533885791897774
fashion,123,train,4,1,0.834,0.6484721588056482,0.037611521780490875,0.03850765526294708
fashion,123,train,5,1,0.0,0.0,-0.17887763679027557,0.04649021103978157
fashion,123,train,6,1,0.8092,0.7031420013350352,0.04932374134659767,0.0556364543735981
fashion,123,train,7,1,0.0,0.0,-0.17599305510520935,0.035057228058576584
fashion,123,train,8,2,0.3157,0.8996439261137572,-0.027757400646805763,0.05009974166750908
fashion,123,train,9,2,0.9497,0.2876699711881601,0.0697120651602745,0.04122592881321907
fashion,123,train,10,2,1.0,0.0,0.20597484707832336,0.0704740434885025
fashion,123,train,11,2,0.8871,0.5086017377439004,0.054748792201280594,0.04514496400952339
fashion,123,train,12,3,1.0,0.0,0.15998704731464386,0.04272414743900299
fashion,123,train,13,3,0.2172,0.7550217275156801,-0.027822839096188545,0.04460502043366432
fashion,123,train,14,3,0.9935,0.0565717142666223,0.08630084246397018,0.03744092956185341
fashion,123,train,15,3,0.0002,0.002746052628263047,-0.1648581475019455,0.05966521427035332
fashion,123,test,0,0,0.6345,0.9471541018292895,0.02779882401227951,0.05974645912647247
fashion,123,test,1,0,0.1925,0.7066720692756119,-0.04166199639439583,0.047116298228502274
fashion,123,test,2,0,0.684,0.8999784480561683,0.018441753461956978,0.036240145564079285
fashion,123,test,3,0,0.822,0.675682186163725,0.04015543311834335,0.045307938009500504
fashion,123,test,4,1,0.862,0.5789769306918972,0.03937177360057831,0.03813399374485016
fashion,123,test,5,1,0.0,0.0,-0.18044331669807434,0.04604135453701019
fashion,123,test,6,1,0.8135,0.6940920414148839,0.049994584172964096,0.05412694811820984
fashion,123,test,7,1,0.0,0.0,-0.1748872548341751,0.03462005406618118
fashion,123,test,8,2,0.3215,0.9060051993494594,-0.02729080058634281,0.04998628795146942
fashion,123,test,9,2,0.9515,0.2799905680862795,0.07065574824810028,0.041397854685783386
fashion,123,test,10,2,1.0,0.0,0.20531798899173737,0.07054418325424194
fashion,123,test,11,2,0.8935,0.4892677884444636,0.05536094680428505,0.04469113051891327
fashion,123,test,12,3,0.9995,0.0062040592958311465,0.1621856391429901,0.042790383100509644
fashion,123,test,13,3,0.2075,0.7366768263847576,-0.028811804950237274,0.04407760873436928
fashion,123,test,14,3,0.9935,0.0565717142666223,0.08613986521959305,0.03652419522404671
fashion,123,test,15,3,0.0,0.0,-0.16485372185707092,0.0598030649125576
fashion,456,train,0,0,1.0,0.0,0.15054677426815033,0.040280550718307495
fashion,456,train,1,0,0.9993,0.00834578320607896,0.1033405289053917,0.030833983793854713
fashion,456,train,2,0,0.2117,0.744719686399653,-0.030234914273023605,0.04148770868778229
fashion,456,train,3,0,0.0014,0.015290858996338223,-0.10759807378053665,0.03529834747314453
fashion,456,train,4,1,0.0,0.0,-0.21557433903217316,0.04650936648249626
fashion,456,train,5,1,0.8795,0.5307963941547871,0.039912838488817215,0.03627000004053116
fashion,456,train,6,1,0.3653,0.9469948276494238,-0.010480218566954136,0.0313836969435215
fashion,456,train,7,1,0.9271,0.37665386008987667,0.048949360847473145,0.03310921788215637
fashion,456,train,8,2,0.9239,0.38828595884511563,0.0617835633456707,0.0433456189930439
fashion,456,train,9,2,0.815,0.690893871435041,0.028149573132395744,0.032425787299871445
fashion,456,train,10,2,1.0,0.0,0.19999630749225616,0.035150088369846344
fashion,456,train,11,2,0.8614,0.5805605620696945,0.065617635846138,0.05342923477292061
fashion,456,train,12,3,0.0,0.0,-0.13579301536083221,0.0356348380446434
fashion,456,train,13,3,0.0428,0.25498599136282907,-0.06638306379318237,0.04151860997080803
fashion,456,train,14,3,0.0024,0.024344909517639703,-0.10353592783212662,0.04834818094968796
fashion,456,train,15,3,0.89,0.49991595816452794,0.04674259573221207,0.03872475028038025
fashion,456,test,0,0,1.0,0.0,0.15066514909267426,0.040589526295661926
fashion,456,test,1,0,1.0,0.0,0.10357806086540222,0.030108388513326645
fashion,456,test,2,0,0.217,0.7546516338427502,-0.030486490577459335,0.04163306578993797
fashion,456,test,3,0,0.001,0.011407757737461138,-0.10577335953712463,0.03513398766517639
fashion,456,test,4,1,0.0,0.0,-0.21576137840747833,0.04630344733595848
fashion,456,test,5,1,0.8915,0.49537486047417817,0.04041881486773491,0.0358559787273407
fashion,456,test,6,1,0.383,0.9601333007496377,-0.010179834440350533,0.031650520861148834
fashion,456,test,7,1,0.934,0.3508159298956047,0.04818382486701012,0.03228500485420227
fashion,456,test,8,2,0.931,0.3621807172571562,0.060541849583387375,0.04300820454955101
fashion,456,test,9,2,0.8295,0.6588472899555771,0.030686330050230026,0.032704006880521774
fashion,456,test,10,2,1.0,0.0,0.20038564503192902,0.03503606840968132
fashion,456,test,11,2,0.855,0.5971850452537841,0.06396742910146713,0.05352533608675003
